Customer Key,Original Name,Master Customer Name,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,Source
ADAIR COUNTYMECH_GP,Adair County Fiscal Court,Adair County Fiscal Court,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Adair County Fiscal Court'),,,MECH_GP
LX990293SERV_GP,Adair County Jail,Adair County Fiscal Court,Municipal / Local Government,,,Manual Override,Final,High,Human-reviewed override,,,SERV_GP
CN992253SERV_GP,Adams County Regional Medical Center,Adams County Regional Medical Center,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Adams County Regional Medical Center'),,,SERV_GP
ADAMS COUNTYMECH_GP,Adams County/Ohio Valley School,Adams Countyohio Valley School,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Adams County/Ohio Valley School'),,,MECH_GP
"ADAMS, DOUGMECH_GP","Adams, Doug",Adams Doug,Individual / Misc,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Adams, Doug')",,,MECH_GP
LX990465SERV_GP,Addiction Recovery Care,Addiction Recovery Care,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Addiction Recovery Care'),,,SERV_GP
LX990471SERV_GP,Adkev Inc,Adkev,Commercial Services,Services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
TN992228SERV_GP,"Adman Electric, Inc",Adman Electric,Utilities,,22,Rule-Based,,High,"Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Adman Electric, Inc')",,,SERV_GP
IN990364SERV_GP,Advanced Agrilytics,Advanced Agrilytics,Commercial Services,Ag analytics/services,5417,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
ADVANCED INDUSTMECH_GP,"Advanced Industrial Managment, Inc.",Advanced Industrial Managment,Commercial Services,Industrial services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
TN992112SERV_GP,Advanced Lableworx Inc,Advanced Lableworx,Commercial Services,Printing/labels,3231,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
ADVANTAGEENGINMECH_GP,Advantage Engineering,Advantage Engineering,Commercial Services,Engineering services,5413,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,MECH_GP
CN992111SERV_GP,Aegis Protective Services,Aegis Protective Services,Commercial Services,Security services,5616,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990410SERV_GP,Ael-Span,Aelspan,Manufacturing,Aerospace/industrial (likely “AELSPAN” related),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN990200SERV_GP,Aero-Blast,Aeroblast,Manufacturing,Industrial equipment/services,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
DY991111SERV_GP,Aerospace Lubricants Inc,Aerospace Lubricants,Manufacturing,Specialty lubricants,3241,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991123SERV_GP,Aesthetic Eye Oculoplastic Surgery,Aesthetic Eye Oculoplastic Surgery,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Aesthetic Eye Oculoplastic Surgery'),,,SERV_GP
TN991883SERV_GP,Afc Urgent Care,Afc Urgent Care,Healthcare / Senior Living,Urgent care clinic,6214,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
LX990334SERV_GP,Afford A Vet - Pasadena,Afford a Vet Pasadena,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Afford A Vet - Pasadena'),,,SERV_GP
LX990333SERV_GP,Afford A Vet - Richmond Rd,Afford a Vet Richmond Rd,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Afford A Vet - Richmond Rd'),,,SERV_GP
TN991753SERV_GP,Affordable Dentures,Affordable Dentures,Healthcare / Senior Living,Dental clinic,6212,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
AFFORDABLESERVIMECH_GP,Affordable Service Solutions,Affordable Service Solutions,Construction,Trades/services (unclear),2382,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,MECH_GP
CN992331SERV_GP,Ag Stones,Ag Stones,Construction,Construction Materials,423320,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,SERV_GP
IN990270SERV_GP,Agellan Commercial Reit,Agellan Commercial Reit,Commercial Real Estate,Commercial REIT,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990393SERV_GP,Agree Realty Corporation,Agree Realty,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Agree Realty Corporation'),,,SERV_GP
NV00151SERV_GP,Ahc Clarksville,Ahc Clarksville,Healthcare / Senior Living,Skilled Nursing Facility,623110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN991511SERV_GP,Aicholtz Llc,Aicholtz,Commercial Real Estate,Property Owner / Holding Co,531120,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,SERV_GP
CN992148SERV_GP,Aigc Solutions,Aigc Solutions,Commercial Services,IT Consulting & Business Technology Services,5415,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,aigcsolutions.com,SERV_GP
DY991010SERV_GP,Air Energy,Air Energy,Commercial Services,Energy services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
AIR ENERGYMECH_GP,Air Energy Systems,Air Energy Systems,Commercial Services,Energy services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
AIR FORCE ONEMECH_GP,"Air Force One, Inc.",Air Force One,Commercial Services,Ambiguous (HVAC? airline? brand?),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
LX950098SERV_GP,Air Gas,Air Gas,Manufacturing,Industrial gases,3251,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
LX990301SERV_GP,Aisin Automotive,Aisin Automotive,Manufacturing,Automotive components,3363,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
NV00103SERV_GP,Aisin World Corp Of America,Aisin World of America,Manufacturing,Automotive components,3363,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
AJKMECH_GP,"Ajk Management, Inc.",Ajk Management,Commercial Services,Business Services,,Heuristic,,Low,"Matched weak business-services signal; Weak-signal best guess (evidence: 'Ajk Management, Inc.')",,,MECH_GP
AKERSMECH_GP,Akers Packaging,Akers Packaging,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Akers Packaging'),,,MECH_GP
AL NEYERMECH_GP,"Al. Neyer, Llc",AL Neyer,Construction,Design-Build / Construction Services,236,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,alneyer.com,MECH_GP
ALBA MANUFACTURMECH_GP,"Alba Manufacturing, Inc.",Alba Manufacturing,Manufacturing,,31-33,Rule-Based,,High,"Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Alba Manufacturing, Inc.')",,,MECH_GP
ALBERT HIGLEYMECH_GP,Albert M. Higley Co.,Albert M Higley,Construction,General Contractor,236220,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,amhigley.com,MECH_GP
TN991254SERV_GP,Alec Blaine,Alec Blaine,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,SERV_GP
IN990472SERV_GP,Alhuda Foundation,Alhuda Foundation,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Alhuda Foundation'),,,SERV_GP
DY991063SERV_GP,Ali Industries Inc.,Ali Industries,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
TN992196SERV_GP,All Eleven C/O Nai,All Eleven,Commercial Real Estate,Property Owner,531120,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,SERV_GP
ALL OCCASIONSMECH_GP,All Occasions Equip. Rentals,All Occasions Equip Rentals,Commercial Services,Equipment rental,5324,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,MECH_GP
IN990431SERV_GP,All Pro Commercial Services,All Pro Commercial Services,Construction,Commercial services/contractor,2362,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,SERV_GP
CN991496SERV_GP,All Pro Parking,All Pro Parking,Commercial Services,Parking services,8129,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
TN992230SERV_GP,Alliance Technical Group Llc,Alliance Technical Group,Commercial Services,Engineering/testing (ATG),5413,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
CN991912SERV_GP,Allied Crawford (Cincinnati),Allied Crawford Cincinnati,Commercial Services,Services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN991970SERV_GP,Allied Supply,Allied Supply,Commercial Services,Distribution (unclear),4238,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
ALLIED SUPPLYMECH_GP,Allied Supply Company,Allied Supply,Commercial Services,Distribution (unclear),4238,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,MECH_GP
LX990385SERV_GP,Allison Abrasives,Allison Abrasives,Construction,Industrial abrasives supplier,4238,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,SERV_GP
IN990258SERV_GP,Alo Property Management,Alo Property Management,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Alo Property Management'),,,SERV_GP
LV990536SERV_GP,Aloft Louisville East,Aloft Louisville East,Commercial Services,Hotel,7211,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,SERV_GP
DY991103SERV_GP,Alp-Arc I Parkway Operating Company Llc,Alparc I Parkway Operating,Commercial Real Estate,Multifamily/parking operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991106SERV_GP,Alp-Arc Ii Creek Run Operating Company Llc,Alparc II Creek Run Operating,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991105SERV_GP,Alp-Arc Ii Dearborn Park Operating Company Llc,Alparc II Dearborn Park Operating,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991104SERV_GP,Alp-Arc Ii Lakeview Operating Company Llc,Alparc II Lakeview Operating,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991100SERV_GP,Alp-Arc Ii Tuller Ridge Operating Company Llc,Alparc II Tuller Ridge Operating,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991102SERV_GP,Alp-Arc Iv Citygate Operating Company Llc,Alparc IV Citygate Operating,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991101SERV_GP,"Alp-Arc Iv Cramer Creek Operating Company, Llc",Alparc IV Cramer Creek Operating,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY990987SERV_GP,Alpha Technologies Services Inc,Alpha Technologies Services,Commercial Services,Technology/services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
LV990350SERV_GP,Alpha Technologies Services Inc,Alpha Technologies Services,Commercial Services,Technology/services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
WV990246SERV_GP,Alpha Technologies Services Inc,Alpha Technologies Services,Commercial Services,Technology/services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
DY990973SERV_GP,Alpla Inc.,Alpla,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
ALSTOMMECH_GP,Alstom,Alstom,Manufacturing,Rail/industrial manufacturing,3365,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,MECH_GP
CN990124SERV_GP,Alt & Witzig Engineering,Alt and Witzig Engineering,Construction,Engineering/contracting,5413,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Mechanical Contractor,,SERV_GP
CN992159SERV_GP,Alt & Witzig Engineering,Alt and Witzig Engineering,Construction,Engineering/contracting,5413,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Mechanical Contractor,,SERV_GP
ALTAMECH_GP,"Alta Refrigeration, Inc.",Alta Refrigeration,Construction,Refrigeration contractor,2382,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,MECH_GP
CN940085SERV_GP,Amano Cincinnati Inc.,Amano Cincinnati,Commercial Services,Parking systems/services,8129,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Hospitality,,SERV_GP
CN992042SERV_GP,"Amazon Data Services, Inc.",Amazon,Commercial Services,Technology / E-Commerce,,Entity Inference,,Medium,Matched known entity 'AMAZON'; Known/recognized entity mapping (evidence: 'Amazon'),,,SERV_GP
AMAZON.COMMECH_GP,Amazon.Com,Amazon,Commercial Services,Technology / E-Commerce,,Entity Inference,,Medium,Matched known entity 'AMAZON'; Known/recognized entity mapping (evidence: 'Amazon'),,,MECH_GP
AMAZONMECH_GP,Amazon.Com Services Llc,Amazon,Commercial Services,Technology / E-Commerce,,Entity Inference,,Medium,Matched known entity 'AMAZON'; Known/recognized entity mapping (evidence: 'Amazon'),,,MECH_GP
WV990109SERV_GP,Amazon.Com Services Llc,Amazon,Commercial Services,Technology / E-Commerce,,Entity Inference,,Medium,Matched known entity 'AMAZON'; Known/recognized entity mapping (evidence: 'Amazon'),,,SERV_GP
IN990187SERV_GP,Amcor Rigid Plastics Usa Inc,Amcor Rigids,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
IN990397SERV_GP,Amcor Rigids C/O Aramark Gbs Facility Operations Center,Amcor Rigids,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
AMERESCOMECH_GP,Ameresco,Ameresco,Energy Services,Energy Services,,Entity Inference,,Medium,Matched known entity 'AMERESCO'; Known/recognized entity mapping (evidence: 'Ameresco'),,,MECH_GP
LV990351SERV_GP,American Fuji Seal Inc,American Fuji Seal,Manufacturing,Packaging and Labels,322220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,fujiseal.com,SERV_GP
LX990462SERV_GP,American Greetings Corporation,American Greetings,Manufacturing,Greeting Card Publisher/Manufacturer,513191,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americangreetings.com,SERV_GP
AME001SERV_GP,American Hermetic,American Hermetic,Manufacturing,HVAC Compressor Remanufacturing,811310,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanhermetics.net,SERV_GP
TN992139SERV_GP,American House Halls,American House Halls,Healthcare / Senior Living,Senior Living / Memory Care,623312,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanhouse.com,SERV_GP
CN991108SERV_GP,American Mortgage,American Mortgage,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: 'American Mortgage'),,,SERV_GP
IN990328SERV_GP,American Mortgage Service Company,American Mortgage Service,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: 'American Mortgage Service Company'),,,SERV_GP
CN992145SERV_GP,American Red Cross,American Red Cross,Non-Profit / Religious,Non-Profit,,Entity Inference,,Medium,Matched known entity 'AMERICAN RED CROSS'; Known/recognized entity mapping (evidence: 'American Red Cross'),,,SERV_GP
DY991045SERV_GP,American Regent,American Regent,Manufacturing,Pharmaceutical Manufacturing,325412,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanregent.com,SERV_GP
IN990363SERV_GP,American Society For Clinical Pathology,American Society for Clinical Pathology,Commercial Services,Professional association,8139,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
DY991139SERV_GP,American Standard,American Standard,Manufacturing,Plumbing Fixture Manufacturing,327110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,americanstandard-us.com,SERV_GP
TN991469SERV_GP,America'S Collectibles Network,Americas Collectibles Network,Commercial Services,Jewelry Television / E-commerce,454110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,jtv.com,SERV_GP
AMERIMEDMECH_GP,Amerimed,Amerimed,Healthcare / Senior Living,Ambulance / Medical Transport,621910,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,amerimed.net,MECH_GP
CN992267SERV_GP,Amerimed,Amerimed,Healthcare / Senior Living,Ambulance / Medical Transport,621910,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,amerimed.net,SERV_GP
IN990372SERV_GP,Ameriplex 2 Llc C/O Jones Lang Lasalle Americas Inc,Ameriplex 2,Commercial Real Estate,Business Park Owner/Operator,531120,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,holladayproperties.com,SERV_GP
NV15074SERV_GP,Amfine Chemical Corporation,Amfine Chemical,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Amfine Chemical Corporation'),,,SERV_GP
LX990479SERV_GP,Amk Services Llc,Amk Services,Commercial Services,Services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
LV990473SERV_GP,Ammega Us Inc Dba Midwest Industrial Rubber,Ammega US Dba Midwest Industrial Rubber,Manufacturing,Industrial rubber products,3262,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
TN991940SERV_GP,Analysis And Measurement Services Corporation,Analysis and Measurement Services,Manufacturing,Manufacturing/engineering services,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN992050SERV_GP,Ancra Cargo,Ancra Cargo,Manufacturing,Cargo securing equipment,3339,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
CN992363SERV_GP,Ancra Cargo,Ancra Cargo,Manufacturing,Cargo securing equipment,3339,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
ANDERSONMECH_GP,Anderson County Fiscal Court,Anderson County Fiscal Court,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Anderson County Fiscal Court'),,,MECH_GP
NV00117SERV_GP,Andrew Kintz,Andrew Kintz,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,SERV_GP
LV990485SERV_GP,Andy Lindsey,Andy Lindsey,Individual / Misc,Individual,,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,SERV_GP
LV990500SERV_GP,Ankaa Global Logistics,Ankaa Global Logistics,Commercial Services,Logistics,4885,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
